2025-05-21 09:45:24.457 - INFO: Halaman yang dipilih: 1, start: 0, length: 10, all: false
2025-05-21 09:47:57.876 - INFO: Halaman yang dipilih: 1, start: 0, length: 10000, all: true
2025-05-21 09:49:08.636 - INFO: Halaman yang dipilih: 1, start: 0, length: 10000, all: true
2025-05-21 09:50:28.601 - INFO: Halaman yang dipilih: 1, start: 0, length: 10, all: false
2025-05-21 09:50:37.869 - INFO: Halaman yang dipilih: 1, start: 0, length: 10000, all: true
2025-05-21 09:50:43.897 - INFO: Halaman yang dipilih: 1, start: 0, length: 10000, all: true
2025-05-21 09:51:31.920 - INFO: Halaman yang dipilih: 1, start: 0, length: 10, all: false
2025-05-21 09:51:36.389 - INFO: Halaman yang dipilih: 1, start: 0, length: 10000, all: true
2025-05-21 09:51:43.611 - INFO: Halaman yang dipilih: 1, start: 0, length: 10000, all: true
2025-05-21 09:52:29.260 - INFO: Halaman yang dipilih: 1, start: 0, length: 10, all: false
2025-05-21 09:52:31.930 - INFO: Halaman yang dipilih: 1, start: 0, length: 10000, all: true
2025-05-21 09:53:53.201 - INFO: Halaman yang dipilih: 1, start: 0, length: 10000, all: true
2025-05-21 09:54:32.490 - INFO: Halaman yang dipilih: 1, start: 0, length: 10000, all: true
2025-05-21 09:54:55.448 - INFO: Halaman yang dipilih: 1, start: 0, length: 10000, all: true
2025-05-21 09:55:16.019 - INFO: Halaman yang dipilih: 1, start: 0, length: 10, all: false
2025-05-21 09:55:18.694 - INFO: Halaman yang dipilih: 1, start: 0, length: 10000, all: true
2025-05-21 09:56:30.965 - INFO: Halaman yang dipilih: 1, start: 0, length: 100, all: false
2025-05-21 09:56:37.960 - INFO: Halaman yang dipilih: 1, start: 0, length: 10000, all: true
2025-05-21 09:56:48.305 - INFO: Halaman yang dipilih: 1, start: 0, length: 10000, all: true
2025-05-21 09:57:31.739 - INFO: Halaman yang dipilih: 1, start: 0, length: 10, all: false
2025-05-21 09:57:33.475 - INFO: Halaman yang dipilih: 1, start: 0, length: 10000, all: true
2025-05-21 10:11:14.230 - INFO: Halaman yang dipilih: 1, start: 0, length: 10, all: false
2025-05-21 10:12:07.542 - INFO: Halaman yang dipilih: 1, start: 0, length: 10, all: false
2025-05-21 10:12:52.705 - INFO: Halaman yang dipilih: 1, start: 0, length: 10, all: false
2025-05-21 10:14:56.274 - INFO: Halaman yang dipilih: 1, start: 0, length: 10000, all: true
2025-05-21 10:15:28.134 - INFO: Halaman yang dipilih: 1, start: 0, length: 10, all: false
2025-05-21 10:16:32.662 - INFO: Halaman yang dipilih: 1, start: 0, length: 10, all: false
2025-05-21 10:17:39.488 - INFO: Halaman yang dipilih: 1, start: 0, length: 10, all: false
2025-05-21 10:17:42.909 - INFO: Halaman yang dipilih: 1, start: 0, length: 10000, all: true
2025-05-21 10:19:22.872 - INFO: Halaman yang dipilih: 1, start: 0, length: 10, all: false
2025-05-21 10:19:25.753 - INFO: Halaman yang dipilih: 1, start: 0, length: 10000, all: true
2025-05-21 10:22:34.174 - INFO: Halaman yang dipilih: 1, start: 0, length: 10, all: false
2025-05-21 10:22:37.575 - INFO: Halaman yang dipilih: 1, start: 0, length: 10000, all: true
2025-05-21 10:22:49.504 - INFO: Halaman yang dipilih: 1, start: 0, length: 5000, all: false
2025-05-21 10:22:52.796 - INFO: Halaman yang dipilih: 1, start: 0, length: 10000, all: true
